zip_code,population,foreign_born_pct,foreign_born,median_household_income,median_home_price,population_density,land_area,median_age,h/fb,w+h/fb,w+h,white,w_pct,black,b_pct,hispanic,h_pct,asian,a_pct,native_american,na_pct,male_pct,female_pct,cost_of_living_index,poverty,bachelors_degree,graduate_degree,hs_diploma,mean_travel_to_work,household_size,transport_carpool,transport_bus_trolley,transport_auto_alone
78953,659,0.00%,0,"$93,896.00","$135,298.00",7,91.5,54,#DIV/0!,#DIV/0!,136.72%,777,117.91%,18,2.73%,124,18.82%,1,0.15%,5,0.76%,41.20%,58.80%,80.1,10.30%,13.30%,4.30%,90.70%,33.3,2.4,12.80%,Means of transportation to work - Bus or trolley bus (%,71.80%
78662,2453,1.30%,30,"$81,035.00","$150,171.00",31,79.8,44.2,1103.83%,6814.26%,88.59%,1821,74.24%,44,1.79%,352,14.35%,7,0.29%,12,0.49%,47.30%,52.70%,79.8,8.60%,11.90%,6.20%,87.60%,,2.8,13.60%,Means of transportation to work - Bus or trolley bus (%,82.60%
78659,3137,2.60%,82,"$71,155.00","$167,263.00",28,113.6,40,642.46%,3419.48%,88.91%,2265,72.20%,38,1.21%,524,16.70%,11,0.35%,18,0.57%,49.90%,50.10%,79.5,4.70%,17.60%,4.20%,86.90%,31.7,3.2,16.20%,Means of transportation to work - Bus or trolley bus (%,80.80%
78650,1753,16.20%,283,"$62,923.00","$141,735.00",26,66.6,37.3,142.96%,544.75%,88.25%,1141,65.09%,23,1.31%,406,23.16%,7,0.40%,6,0.34%,46.50%,53.50%,80.5,16.20%,19.30%,3.60%,77.70%,41.6,2.9,12.50%,Means of transportation to work - Bus or trolley bus (%,82.00%
78612,12546,14.60%,1830,"$60,009.00","$153,278.00",134,93.8,36.9,230.88%,566.57%,82.72%,6149,49.01%,666,5.31%,4229,33.71%,88,0.70%,59,0.47%,53.70%,46.30%,82,12.90%,22.70%,6.70%,82.10%,41.3,3.4,13.10%,Means of transportation to work - Bus or trolley bus (%,80.40%
78602,27430,8.50%,2334,"$57,598.00","$174,034.00",142,193.6,40.8,278.61%,947.10%,80.50%,15586,56.82%,2345,8.55%,6496,23.68%,198,0.72%,102,0.37%,53.10%,46.90%,92.1,10.90%,21.90%,8.30%,84.30%,31.4,2.8,12.20%,0.50%,80.60%
78621,22503,13.90%,3130,"$57,199.00","$136,963.00",120,187,35.2,273.22%,600.46%,83.46%,10236,45.49%,2348,10.43%,8546,37.98%,120,0.53%,69,0.31%,50.30%,49.70%,80.6,16.90%,16.70%,4.90%,77.60%,35.1,3,14.20%,Means of transportation to work - Bus or trolley bus (%,77.00%
78957,9277,2.20%,203,"$47,274.00","$155,831.00",50,187.2,42.9,692.33%,4006.00%,88.13%,6763,72.90%,644,6.94%,1413,15.23%,56,0.60%,52,0.56%,46.10%,53.90%,81.6,14.70%,20.10%,5.50%,84.90%,35.4,2.4,14.20%,0.30%,76.70%
