"zip_code","population","foreign_born_pct","foreign_born","median_household_income","median_home_price","population_density","land_area","median_age","white","black","hispanic","asian","native_american","male_pct","female_pct","cost_of_living_index","poverty","bachelors_degree","graduate_degree","hs_diploma","mean_travel_to_work","household_size","transport_carpool","transport_bus_trolley","transport_auto_alone"
"95023","51,777","20.5%","10,620","$80,158","$460,945","126","412.3","34.7","17,654","306","28,667","1,147","186","50.1%","49.9%","103.1","9.4%","18.6%","5.5%","78.0%","33.3","3.4","13.6%","0.2%","80.8%"
"95043","744","10.5%","78","$66,829","$663,725","-0.897","-829.1","44.8","452","2","171","2","4","46.6%","53.4%","101.9","18.9%","20.7%","8.2%","84.5%","38.1","2.7","4.8%","0.6%","72.2%"
"95045","4,539","17.7%","804","$56,125","$543,744","96","47.4","45.7","1,909","37","1,829","132","38","50.1%","49.9%","101.5","14.9%","27.7%","12.4%","79.5%","33.9","2.9","11.9%","Means of transportation to work - Bus or trolley bus (%","72.0%"
"95075","395","10.3%","40","$67,117","$548,738","4","93.0","44.0",,,,,,"46.7%","53.3%","101.1","2.2%","22.4%","4.5%","92.5%","23.4","2.9","5.4%","Means of transportation to work - Bus or trolley bus (%","81.4%"
