"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","black_pct","hispanic_pct","asian_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","native_american_pct","transport_bus_trolley"
"Murray","GA","3,123","7.8%","$40,020","$102,554","40,180","344","117","37.7","83.2%","1.0%","14.4%",,"68.7%","11.3%","19,899","20,281","2.0","81.4","16.9%","85.0%","9.2%",,"0.3%"
"Muscogee","GA","10,401","5.3%","$40,060","$150,400","197,485","216","913","33.7","41.0%","45.0%","7.6%","2.1%","87.9%","27.4%","96,919","100,566","2.0","85.5","21.7%","80.9%","9.7%","0.5%","0.8%"
"Newton","GA","8,240","7.7%","$48,628","$142,200","106,999","276","387","36.0","48.8%","42.7%","5.0%","1.0%","81.3%","17.1%","49,949","57,050","2.0","95.2","22.1%","79.5%","10.6%",,"0.2%"
"Oconee","GA","2,315","6.5%","$79,698","$264,866","35,803","186","193","40.1","84.6%","5.5%","4.8%","4.0%","94.9%","48.5%","17,541","18,262","2.0","93.8","6.4%","83.1%","8.1%",,
"Oglethorpe","GA","358","2.4%","$46,597","$124,334","15,051","441","34","42.7","75.3%","16.9%","4.1%","0.6%","79.6%","17.2%","7,540","7,511","2.0","82.0","16.1%","70.4%","13.2%",,"0.4%"
"Paulding","GA","7,326","4.7%","$60,856","$158,800","155,825","313","497","36.4","73.0%","17.8%","5.8%","0.9%","90.5%","23.7%","75,737","80,088","2.0","95.5","8.7%","72.8%","9.9%",,"0.1%"
"Peach","GA","1,501","5.5%","$43,160","$136,264","27,469","151","182","35.2","45.0%","45.5%","7.4%","1.2%","85.2%","20.9%","13,259","14,210","2.0","82.5","18.9%","78.4%","12.1%",,"1.7%"
"Pickens","GA","935","3.1%","$59,574","$198,212","30,618","232","132","45.2","93.4%","1.2%","3.1%","0.6%","83.6%","25.6%","15,193","15,425","2.0","84.9","9.2%","77.0%","10.5%",,"0.0%"
"Pierce","GA","486","2.5%","$44,841","$107,369","19,427","343","57","39.2","83.4%","8.4%","5.2%",,"81.9%","13.4%","9,749","9,678","2.0","80.9","17.9%","84.0%","7.8%",,
"Pike","GA","169","0.9%","$53,330","$168,770","18,215","218","83","39.7","86.3%","10.7%","1.5%","0.5%","87.7%","15.8%","8,922","9,293","2.0","82.8","10.9%","78.4%","13.4%",,
